How were your overall mentorship training and support experience in OLS?,What expectations from the OLS program were met and where can we do better?,How was your overall experience with the mentoring calls with your mentee?,"If you followed the cohort calls (notes or videos), which of the following topics introduced in these cohort calls were useful for you?","Would you be interested in returning to the next cohort as a mentor or expert, and/or join our steering committee?",Anything else you would like to share with us?
"I felt supported as a mentor and the training offered in the OLS-2 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: open education, Preprints, open protocols",I would take a break but please keep me informed about the next cohort,"A suggested topic, which might have been covered under mental health day, and may only be a concern if you do community organization long term:

Keeping it real.

Community people *sell* community.  And it *has* to be a community we believe in.  We also have to be *authentic*.  But, some days we don't feel that enthusiasm as keenly as we do on most days.  How do we get through those tough days without misrepresenting ourselves?  

Can we do things, because they are great things to do, and still balance that with the knowledge this is a great idea *that will sell.*  

I think anyone who does this type of work for any period of time has to learn to walk the line between being authentic and being cynical.

Um, sorry, what was the question?  :-)  Thanks for listening, and for all your efforts.
Dave C



"
I felt supported as a mentor and the training offered in the OLS-2 was adequate,,Mentoring calls were mostly constructive,,I would take a break but please keep me informed about the next cohort,
"I felt supported as a mentor and the training offered in the OLS-2 was adequate, I enjoyed my participation and did not find the experience overwhelming","Y'all are amazing!! All the work you do makes the experience of mentoring so smooth. As a mentor, I really only need to focus on the mentee's project and how to make their experience better, everything else is readily available (templates, schedule, content, nicely organized, etc.), so nice!",Mentoring calls were always constructive,,Yes I'd like to return as an expert,
I felt supported as a mentor and the training offered in the OLS-2 was adequate,"Most of my expectations were actually surpassed. The cohort calls were more informative than what I was expecting (I didn't participate in them personally because of time constrains, but watched them on youtube afterwards), the slack group was more amazing and supportive than what I was expecting, and I was not expecting a mentor training at all (thanks for the opportunity!). The only very tiny issue I had (but maybe totally my limitation) is the difficulty of keeping track of the hackmd or google docs files of each mentoring and cohort session. Perhaps these could be outlined in an issue in the main repo of OLS so that people can always go there to find these documents.",Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)",Yes I'd like to return as an expert,"Thanks for creating this program! It was amazing to be part of it, and would love to stay engaged with it (as an expert for next semester, but hopefully as a mentor in the future again)."
"I felt supported as a mentor and the training offered in the OLS-2 was adequate, I enjoyed my participation and did not find the experience overwhelming, It would have been good to maybe have a reflection / consolidation session for mentors at the end of the programme but I really appreciated the training organised and the support from other mentors ","I think having a bit more structure and theming to the mentoring calls might have been useful, sometimes it was hard to keep them structured and ensure we were covering everything (this could also be me as a first-time mentor)",Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Final presentation call (open and live streamed)",Yes I'd like to return as an expert,Thanks for having me as a mentor on this programme - it's been a brilliant experience and I've learnt so much! 
"I felt supported as a mentor and the training offered in the OLS-2 was adequate, I enjoyed my participation and did not find the experience overwhelming","It was an amazing experience! 
I would like to suggest to move the mentor onboarding to week ""0"", i.e. before the program starts and to have the option of having two mentors per project",Mentoring calls were mostly constructive,"Unfortunately, I haven't had the time to follow them",Yes I'd like to return as a mentor,Thank You very much for organizing this wonderful curriculum 
"I felt supported as a mentor and the training offered in the OLS-2 was adequate, I enjoyed my participation and did not find the experience overwhelming","It was my first time, I was a little lost about what we had to do or not, maybe the first 3-4 weeks, new mentors could have a meeting with the organizers to make sure everything is going well.","Mentoring calls were not structured or constructive, Mentoring calls were somewhat constructive",,Yes I'd like to return as an expert,
"I felt supported as a mentor and the training offered in the OLS-2 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were mostly constructive,,Yes I'd like to return as a mentor,
I felt supported as a mentor and the training offered in the OLS-2 was adequate,Really amazingly perfect!,Mentoring calls were mostly constructive,Unfortunately I was not able to follow cohort calls,but maybe relevant only if there is applicants from ecology / biodiversity fields like it was in OLS2,GOOD JOB !!!!!!! YOU ARE AMAAAZZZZZZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIINNNNNNNNNNNNNNNGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG
I felt supported as a mentor and the training offered in the OLS-2 was adequate,"i felt supported, everything was organized really well, and my experience with the project lead and co-mentor was good.",Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Applying FAIR principles, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mental health, self care, personal ecology, Ally skills, Final presentation call (open and live streamed)",I have signed up as both an expert and mentor for OLS-3,"Thank you for an amazing program, this was genuinely one of highlights of 2020. You've given me opportunities to mentor, to learn, and have given me more confidence in a range of areas. Bring on OLS-3!!"
