How were your overall mentorship training and support experience in OLS?,What expectations from the OLS program were met and where can we do better?,How was your overall experience with the mentoring calls with your mentee?,"If you followed the cohort calls (notes or videos), which of the following topics introduced in these cohort calls were useful for you?","Would you be interested in returning to the next cohort as a mentor or expert, and/or join our steering committee?",Do you think your mentee was able to effectively engage with OLS throughout the program?,Anything else you would like to share with us?
I felt supported as a mentor and the training offered in the OLS-6 was adequate,,Mentoring calls were not structured or constructive,,Participant,"Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-6 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were mostly constructive,"Licensing and Code of Conduct, Persona and pathways and inviting contributions, Final presentation call (open and live streamed)","Yes I'd like to return as an expert, Also happy to be a reviewer this round (have registered already)","I think Alden struggled in the beginning to keep up with all the homework, especially since her project wasn't actually funded yet so she was limited in what she could actually implement during the OLS program.",
I felt supported as a mentor and the training offered in the OLS-6 was adequate,"I felt really well supported! There were many opportunities to get help and get in touch with other mentors. I particularly liked reminders for concrete actions, like to have a reflection chat at the end. Maybe more reminders like this could be useful in case the project doesn't use the template regularly ",Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Citizen Science, Open Leadership: Career Guidance call, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I'd like to return as a collaborator to run this program in my network","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-6 was adequate, I enjoyed my participation and did not find the experience overwhelming","I was really pleased by the Mentor training session which was very useful and gave me more tools to go about this first mentorship experience, I also received a lot of encouragement and confidence from the training and from the OLS organisers. I would have loved to have more mentor meetings and more active participation in talks and training for mentees. ",Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Knowledge Dissemination: Preprints, Training and Code Publishing, Citizen Science, Diversity and Inclusion, Open Leadership: Career Guidance call, Final presentation rehearsals","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I'd like to return as a collaborator to run this program in my network, Yes I am interesting in joining the OLS steering committee","Yes, they were able to engage",
I felt supported as a mentor and the training offered in the OLS-6 was adequate,,Mentoring calls were somewhat constructive,,"Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I am interesting in joining the OLS steering committee","No, they had difficulty engaging or attending calls",
"I felt supported as a mentor and the training offered in the OLS-6 was adequate, I enjoyed my participation and did not find the experience overwhelming","Programme was very useful for the project and I felt very supported as mentor. Haven't been 100% in due to other responsibilities, so I don't have any other feedback for improvements. It's all been v good to me :)",Mentoring calls were mostly constructive,N/A,"Yes I'd like to return as a mentor, Yes I am interesting in joining the OLS steering committee, Not sure about the time/duties of the steering committee, but would be happy to know more about it","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-6 was adequate, I enjoyed my participation and did not find the experience overwhelming","The mentoring training and support with the microgrants is a positive point.  As for the unmet expectations, I don't see any.",Mentoring calls were always constructive,"Citizen Science, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Open Leadership: Career Guidance call, Open office/co-working hours and social calls, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I'd like to return as a collaborator to run this program in my network, Yes I am interesting in joining the OLS steering committee","Yes, they were able to engage",
I felt supported as a mentor and the training offered in the OLS-6 was adequate,,Mentoring calls were somewhat constructive,,I am not sure yet but ask me later,"Did not manage to engage with Mahmood Usman, so not sure. ",
"I felt supported as a mentor and the training offered in the OLS-6 was adequate, I enjoyed my participation and did not find the experience overwhelming",the program is getting better with each cohort ,Mentoring calls were mostly constructive,,,she couldn't engage as much as she wanted,
I felt supported as a mentor and the training offered in the OLS-6 was adequate,,Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science, Diversity and Inclusion, Mountain of engagement and Community interactions, Mental health, self care, personal ecology",I would take a break but please keep me informed about the next cohort,"No, they had difficulty engaging or attending calls",
"I felt supported as a mentor and the training offered in the OLS-6 was adequate, I enjoyed my participation and did not find the experience overwhelming, enriching and overall great. ","Just a suggestion: while mentoring groups I would suggest prior to meeting the group, to meet 1:1 with each member to get a sense of who they are out of group dynamics. For instance men in a group tend to be more outspoken and can overshadow other members specially if it's a smaller group of only 2 people. ",Mentoring calls were mostly constructive,"Project development: Agile and iterative project management methods & Open Aspects, Mountain of engagement and Community interactions, Ally skills",Yes I'd like to return as an expert,"No, they had difficulty engaging or attending calls",
I felt supported as a mentor and the training offered in the OLS-6 was adequate,,Mentoring calls were always constructive,,"Yes I'd like to return as an expert, Yes I'd like to return as a collaborator to run this program in my network, Yes I am interesting in joining the OLS steering committee","Yes, they were able to engage",
