OLS is helping me work openly,OLS is helping me encourage others to work openly,Which of the following aspects of the cohort call work well?,What should we improve in cohort calls?,Which of the following statements is true regarding the usefulness of the topics introduced at the OLS?,How much time do you spend on assignments on average? (not meetings),Which of the following mode of communication you find most effective?,How many cohort calls have been able to attend or watch in this round?,To what extent did your mentor meet your expectations?,Would you like to work with your mentor in future?
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc",Opportunity to get to know others,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Shared note-taking on the google doc",Opportunity to get to know others,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Website with links to various resources",I have attended all the cohort calls so far,4,Yes
5,4,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers","Breakout room activities, Shared note-taking on the google doc, Opportunity to get to know others",I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
4,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc",Opportunity to get to know others,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Website with links to various resources, I miss some live/online meetings to get to know people, not via tools.","I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Maybe
5,4,"Information on before, during and after the call, Talks by the guest speakers, Breakout room activities, Opportunity to get to know others",NA,I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities","Information on before, during and after the call, Opportunity to get to know others",I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others",I have attended all the cohort calls so far,4,Maybe
5,5,All of the above,na,I have been able to use MOST concepts introduced at OLS so far,<1 hour / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Maybe
5,5,All of the above,Opportunity to get to know others,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others",I have attended all the cohort calls so far,5,Yes
5,5,All of the above,Ocasionally I lioked for the recording and it was not up after a few days but it is completely understandable ,I have been able to use MOST concepts introduced at OLS so far,<1 hour / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
4,5,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc",Breakout room activities,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Maybe
5,5,All of the above,Talks by the guest speakers,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Yes
