How was your overall project leadership experience in OLS?,How was your overall experience with the mentor-mentee calls?,How was your overall experience with the cohort calls?,Which of the following topics introduced in these cohort calls were useful for your open science journey?,"Would you be interested in joining as a mentor, call facilitator, or expert in the next cohort?",Would you recommend this program to others?
I was able to meet ALL my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Applying FAIR principles on research components, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed), Breakout rooms were really nice exploit to get to know other participants and share experience. ","Well, I would love to but I dont think I have suffiecent expertise yet. ",Yes
I was able to meet MOST of my goals,Mentoring calls were mostly useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able to meet MOST of my goals,Mentoring calls were mostly useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were somewhat useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Persona and pathways and inviting contributions, Ally skills, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were mostly useful,"Licensing and Code of Conduct, Project development: Agile and iterative project management methods & Open Aspects, Applying FAIR principles on research components, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mental health, self care, personal ecology","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able to meet MOST of my goals,Mentoring calls were mostly useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a collaborator to run an OLS cohort for my network, I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mental health, self care, personal ecology, Ally skills, Final presentation rehearsals, Final presentation call (open and live streamed), The ones I haven't ticked are mainly because I haven't caught up with them yet. Generally - all useful (in varying amounts). The less useful ones were only less useful because I knew a moderate amount about them already. Several, that I thought I knew a fair amount about, turns out I didn't / there was still a lot for me to learn!","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Final presentation call (open and live streamed)","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Open agenda and social calls, Final presentation call (open and live streamed)",I would like to return as a mentor or expert but not in the next year since I promised myself to not commit to more projects. Please keep in touch though!,Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)",Yes I'd like to return as a mentor,Yes
I was able to meet ALL my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed), Breakout rooms was so useful too.","Not yet actually. I attended this project as a helper. My contribution was not much. I surely need to improve myself. Maybe after an individual attendence to a project for OLS-3, I can find opportunity for improvements. Then I love to join as a mentor.",Yes
I was able to meet MOST of my goals,Mentoring calls were mostly useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I'd like to return as a collaborator to run an OLS cohort for my network",Yes
I was able to meet MOST of my goals,Mentoring calls were mostly useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mental health, self care, personal ecology, Ally skills, Final presentation call (open and live streamed)","No, I would not be able to return to OLS-2",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were mostly useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Career Guidance calls","Yes I'd like to return as a mentor, Yes I'd like to return as an expert",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Mental health, self care, personal ecology","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed), As I read this list I am reminded on all I learnt and all I hope to read further into!","Yes I'd like to return as a mentor, I am open to discussing further engagement but do not want to take on more than I am equipped to deliver.",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were somewhat useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Designing for inclusion: Implicit bias, Diversity and Inclusion, Ally skills, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, I'd love to be involved in the future (e.g., as a mentor or expert, as I indicated), but probably not until next year at least, as I need to prioritize some other aspects of my life/work this year. ",Yes
I was able to meet MOST of my goals,Mentoring calls were mostly useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Designing for inclusion: Implicit bias, Diversity and Inclusion, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later when you have launched OLS-2",Yes
"I was able to meet ALL my project goals, I had some personal goals which were not completed - but that's fine :)",Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Career Guidance calls, They were all useful! The ones I've ticked were just the particularly relevant ones at this stage.","I would like to return to OLS, but right now I'm crazy busy and need to focus on some work projects. I'm happy to do coordinate a coworking call for OLS-3 (or something similar which is low threshold) and I can be in the loop for OLS-4 or later for a mentor/expert role (I'm happily assuming it continues forever) ",Yes
I was able to meet ALL my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles on research components, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)",Yes I'd like to return as a mentor,Yes
